CandidateID,ApplicationDate,Source,Department,Stage,TimeToHire,OfferStatus,HireStatus,Location,ExperienceYears,Gender,DiversityFlag,EduLevel,InterviewScore,ExpectedCTC,OfferedCTC,NoticePeriodDays,JoiningDate,AttritionFlag,Recruiter,Remarks
C00001,2024-10-18,Career Site,Tech,Joined,35.0,Accepted,Hired,Bangalore,20,Male,No,PhD,9.2,81.12,66.18,15,2024-11-22 17:08:25.237612,No,Carol Davis,Positive attitude.
C00002,2024-12-24,Referral,Tech,Joined,25.0,Accepted,Hired,Chennai,2,Female,Yes,Masters,4.2,14.66,16.46,60,2025-01-18 17:08:25.237612,No,Bob Williams,Good problem-solver.
C00003,2024-07-18,Naukri,Tech,Joined,32.0,Accepted,Hired,Mumbai,1,Male,No,Bachelors,6.2,13.62,14.29,90,2024-08-19 17:08:25.237612,No,Bob Williams,Strong potential.
C00004,2024-12-13,Naukri,Tech,Joined,40.0,Accepted,Hired,Chennai,12,Male,No,Diploma,8.9,29.13,26.63,90,2025-01-22 17:08:25.237612,No,Bob Williams,Highly motivated.
C00005,2024-11-08,Naukri,Marketing,Joined,43.0,Accepted,Hired,Chennai,9,Female,Yes,Bachelors,5.2,19.19,21.3,60,2024-12-21 17:08:25.237612,No,David Brown,Good problem-solver.
C00006,2025-05-08,LinkedIn,Marketing,Joined,17.0,Accepted,Hired,Chennai,2,Female,Yes,Diploma,9.6,17.1,18.11,15,2025-05-25 17:08:25.237612,No,David Brown,
C00007,2024-09-03,LinkedIn,Tech,Joined,15.0,Accepted,Hired,Remote,9,Male,No,Bachelors,9.2,51.97,45.87,15,2024-09-18 17:08:25.237612,No,Bob Williams,Quick learner.
C00008,2024-08-01,Referral,Tech,Joined,53.0,Accepted,Hired,Mumbai,12,Male,No,Masters,6.6,43.86,52.01,90,2024-09-23 17:08:25.237612,No,Eve Miller,Strong potential.
C00009,2024-07-18,LinkedIn,Tech,Joined,32.0,Accepted,Hired,Chennai,3,Male,No,Bachelors,3.9,25.74,26.0,15,2024-08-19 17:08:25.237612,No,Carol Davis,
C00010,2025-01-18,Naukri,Marketing,Joined,43.0,Accepted,Hired,Bangalore,0,Female,Yes,Masters,7.3,21.26,23.48,15,2025-03-02 17:08:25.237612,No,Alice Johnson,Highly motivated.
C00011,2024-09-22,LinkedIn,Ops,Joined,8.0,Accepted,Hired,Mumbai,2,Female,Yes,Masters,4.1,5.05,5.53,60,2024-09-30 17:08:25.237612,No,Alice Johnson,Team player.
C00012,2025-07-09,Career Site,Tech,Joined,36.0,Accepted,Hired,Hyderabad,1,Female,Yes,PhD,5.7,21.92,22.76,15,2025-08-14 17:08:25.237612,No,David Brown,Positive attitude.
C00013,2024-11-24,LinkedIn,Finance,Joined,43.0,Accepted,Hired,Bangalore,3,Female,Yes,PhD,4.0,15.08,12.1,60,2025-01-06 17:08:25.237612,No,Carol Davis,Excellent communication skills.
C00014,2025-02-09,LinkedIn,Finance,Offered,,Rejected,Rejected by Applicant,Bangalore,13,Male,No,Diploma,8.3,61.47,56.16,30,,No,Carol Davis,
C00015,2024-12-26,Naukri,Marketing,Joined,40.0,Accepted,Hired,Mumbai,6,Female,Yes,PhD,5.4,12.62,12.97,30,2025-02-04 17:08:25.237612,No,Eve Miller,Strong potential.
C00016,2025-03-15,Career Site,Tech,Offered,,Rejected,Rejected by Applicant,Chennai,8,Female,Yes,Masters,6.2,30.39,29.33,30,,No,Carol Davis,
C00017,2024-09-18,LinkedIn,Tech,Joined,20.0,Accepted,Hired,Chennai,1,Female,Yes,Diploma,9.9,13.53,14.65,15,2024-10-08 17:08:25.237612,Yes,Carol Davis,Team player.
C00018,2025-05-14,Referral,HR,Joined,7.0,Accepted,Hired,Chennai,1,Female,Yes,Masters,6.1,5.46,6.39,15,2025-05-21 17:08:25.237612,No,David Brown,
C00019,2024-08-07,Referral,Tech,Joined,30.0,Accepted,Hired,Bangalore,3,Female,Yes,Masters,6.7,35.87,36.87,60,2024-09-06 17:08:25.237612,No,Carol Davis,Highly motivated.
C00020,2025-05-11,LinkedIn,Finance,Joined,36.0,Accepted,Hired,Chennai,6,Male,No,Bachelors,4.4,16.3,16.41,15,2025-06-16 17:08:25.237612,No,Carol Davis,Strong cultural fit.
C00021,2024-12-22,Referral,Tech,Joined,24.0,Accepted,Hired,Mumbai,9,Male,No,Bachelors,3.0,34.1,32.86,30,2025-01-15 17:08:25.237612,No,Eve Miller,
C00022,2024-10-08,Referral,Marketing,Joined,20.0,Accepted,Hired,Chennai,3,Female,Yes,Bachelors,3.5,7.9,9.12,90,2024-10-28 17:08:25.237612,No,Bob Williams,
C00023,2024-11-23,Referral,Tech,Offered,,Rejected,Rejected by Applicant,Remote,11,Male,No,Bachelors,8.1,27.88,29.55,60,,No,Eve Miller,
C00024,2024-11-26,LinkedIn,Tech,Offered,,Rejected,Rejected by Applicant,Bangalore,1,Female,Yes,Diploma,9.1,20.12,22.22,60,,No,David Brown,Profile reviewed.
C00025,2025-03-22,LinkedIn,HR,Joined,39.0,Accepted,Hired,Mumbai,0,Female,Yes,PhD,8.1,7.8,9.02,90,2025-04-30 17:08:25.237612,No,David Brown,Quick learner.
C00026,2024-08-14,LinkedIn,HR,Joined,38.0,Accepted,Hired,Bangalore,1,Male,No,Diploma,8.6,16.78,19.71,15,2024-09-21 17:08:25.237612,No,Carol Davis,Team player.
C00027,2025-06-17,Career Site,Ops,Joined,46.0,Accepted,Hired,Mumbai,20,Other,Yes,Diploma,3.7,27.05,22.86,90,2025-08-02 17:08:25.237612,No,Bob Williams,
C00028,2024-11-02,LinkedIn,Tech,Joined,14.0,Accepted,Hired,Chennai,6,Male,No,PhD,7.5,25.32,21.74,30,2024-11-16 17:08:25.237612,No,Carol Davis,
